uuid,item_id,timestamp,price,url,color,title,is_new,date
H078595CKAA1716941167,H078595CKAA,1716941167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-29
H073428CK0X1716957367,H073428CK0X,1716957367,13860,/au/en/product/lindy-26-bag-H073428CK0X/,Orange,Lindy 26 bag,1,2024-05-29
H070510CP371716957367,H070510CP37,1716957367,13440,/au/en/product/roulis-mini-bag-H070510CP37/,Brown,Roulis mini bag,1,2024-05-29
H082153CCBI1716957367,H082153CCBI,1716957367,15235,/au/en/product/2424-21-bag-H082153CCBI/,White,24/24 - 21 bag,1,2024-05-29
H073428CK081716957367,H073428CK08,1716957367,13860,/au/en/product/lindy-26-bag-H073428CK08/,Blue,Lindy 26 bag,1,2024-05-29
H077913CC461716957367,H077913CC46,1716957367,5925,/au/en/product/picotin-lock-18-bag-H077913CC46/,Brown,Picotin Lock 18 bag,1,2024-05-29
H078971CCAA1716972367,H078971CCAA,1716972367,4870,/au/en/product/herbag-zip-31-bag-H078971CCAA/,Black,Herbag Zip 31 bag,1,2024-05-29
H078595CKAA1717028167,H078595CKAA,1717028167,49705,/au/en/product/bolide-1923-45-racing-bag-H078595CKAA/,Blue,Bolide 1923 - 45 Racing bag,1,2024-05-30
H083618CKAC1717028167,H083618CKAC,1717028167,7300,/au/en/product/steeple-25-bag-H083618CKAC/,Multi-colored,Steeple 25 bag,1,2024-05-30
H082924CAAD1717028167,H082924CAAD,1717028167,11955,/au/en/product/cabas-h-en-biais-40-bag-H082924CAAD/,Multi-colored,Cabas H en Biais 40 bag,1,2024-05-30
H085078CKAA1717028167,H085078CKAA,1717028167,9545,/au/en/product/garden-party-49-voyage-bag-H085078CKAA/,Beige/Natural,Garden Party 49 voyage bag,1,2024-05-30
H083894CAAG1717028167,H083894CAAG,1717028167,5900,/au/en/product/pursangle-tote-bag-H083894CAAG/,Multi-colored,Pursangle tote bag,1,2024-05-30
